2026-05-04 08:34:20.149 PRESENT  id=com.jetbrains.remoteDevServer version=253.29346.138
2026-05-04 08:34:20.149 PRESENT  id=XPathView version=253.29346.138
2026-05-04 08:34:20.150 PRESENT  id=com.intellij.tasks version=253.29346.138
2026-05-04 08:34:20.150 PRESENT  id=intellij.jupyter version=253.29346.138
2026-05-04 08:34:20.150 PRESENT  id=org.jetbrains.plugins.kotlin.jupyter version=253.29346.138
2026-05-04 08:34:20.151 PRESENT  id=Docker version=253.29346.138
2026-05-04 08:34:20.151 PRESENT  id=tanvd.grazi version=253.29346.138
2026-05-04 08:34:20.151 PRESENT  id=com.intellij.compose version=253.29346.138
2026-05-04 08:34:20.152 PRESENT  id=com.intellij.plugins.eclipsekeymap version=253.29346.138
2026-05-04 08:34:20.152 PRESENT  id=Git4Idea version=253.29346.138
2026-05-04 08:34:20.152 PRESENT  id=org.jetbrains.plugins.gitlab version=253.29346.138
2026-05-04 08:34:20.153 PRESENT  id=com.intellij.settingsSync version=253.29346.138
2026-05-04 08:34:20.153 PRESENT  id=org.jetbrains.plugins.github version=253.29346.138
2026-05-04 08:34:20.153 PRESENT  id=org.jetbrains.idea.maven version=253.29346.138
2026-05-04 08:34:20.154 PRESENT  id=org.jetbrains.plugins.gradle version=253.29346.138
2026-05-04 08:34:20.154 PRESENT  id=izhangzhihao.rainbow.brackets version=2025.3.6
2026-05-04 08:34:20.154 PRESENT  id=com.intellij.mcpServer version=253.29346.138
2026-05-04 08:34:20.155 PRESENT  id=PerforceDirectPlugin version=253.29346.138
2026-05-04 08:34:20.155 PRESENT  id=com.jetbrains.codeWithMe version=253.29346.138
2026-05-04 08:34:20.155 PRESENT  id=org.jetbrains.security.package-checker version=253.29346.138
2026-05-04 08:34:20.156 PRESENT  id=com.intellij.microservices.ui version=253.29346.138
2026-05-04 08:34:20.156 PRESENT  id=com.jetbrains.performancePlugin.async version=253.29346.138
2026-05-04 08:34:20.157 [CONTROLEX] start  id=es.iesclaradelrey.controlex version=1.4.1
2026-05-04 09:55:41.304 UNLOAD   id=es.iesclaradelrey.controlex name="Controlex" version=1.4.1
2026-05-04 09:55:41.547 [CONTROLEX] stop   id=es.iesclaradelrey.controlex version=1.4.1
